	Ssp1	Step	Hsp1	Hsp2	Sove	Pmug	Pfle	Lhsp	Hbiv	Hssp	Nyam	Ntyl	Cumu	Gmug	Gzhu	Llle	Lpil	Lkao	Ltri	Lmir	Pbig
192	0	0	1299	0	0	53	52	0	0	0	0	0	0	0	0	6	1	1	0	1	0
193	0	0	900	0	0	0	47	0	0	0	0	31	0	0	0	37	37	0	7	15	0
194	0	0	39	0	0	0	0	0	0	0	0	3	0	0	0	33	14	0	33	5	0
195	0	0	50	0	0	0	7	0	0	0	0	1	0	0	0	9	12	7	1	0	3
196	0	0	764	0	0	0	4	0	0	0	0	2	0	0	0	6	1	0	0	6	0
197	0	0	0	0	0	71	1	0	8	0	0	0	0	0	0	0	1	0	0	0	0
198	0	0	182	0	0	255	0	0	6	0	0	2	8	0	0	32	7	15	0	26	0
199	0	0	786	0	0	347	41	0	0	0	0	4	0	0	0	16	45	5	0	5	1
200	4	0	300	0	0	110	53	0	0	0	0	9	2	0	0	15	7	0	0	0	2
201	0	0	2	0	0	0	2	0	0	0	0	2	34	0	0	0	26	0	44	0	1
202	0	0	200	0	0	18	21	0	232	0	0	4	23	0	0	42	8	0	38	4	0
